country_txt,regions,nkill_2016,nwound_2016,total_2016,population_2016,kills_per_pop_2016,wound_per_pop_2016
Afghanistan,Asia,6119,6485,12604,34656032,36.36884915,18.71247118
Algeria,Africa & Middle East,9,2,11,40606052,0.027089558,0.004925374
Argentina,South America,0,2,2,43847430,0.004561271,0.004561271
Armenia,Asia,6,1,7,2924816,0.239331295,0.034190185
Australia,Australasia & Oceania,0,1,1,24127159,0.004144707,0.004144707
Azerbaijan,Asia,1,1,2,9762274,0.02048703,0.010243515
Bahrain,Africa & Middle East,1,2,3,1425171,0.210501056,0.140334037
Bangladesh,Asia,76,90,166,162951560,0.101870765,0.055231137
Belgium,Europe & Russia,36,276,312,11348159,2.749344629,2.432112557
Brazil,South America,1,0,1,207652865,0.000481573,0
Bulgaria,Europe & Russia,0,1,1,7127822,0.014029531,0.014029531
Burkina Faso,Africa & Middle East,62,40,102,18646433,0.547021513,0.214518241
Burundi,Africa & Middle East,74,213,287,10524117,2.727069644,2.023922767
Cameroon,Africa & Middle East,245,324,569,23439189,2.427558394,1.382300386
Canada,North & Central America,1,34,35,36286425,0.096454804,0.093698952
Central African Republic,Africa & Middle East,189,173,362,4594621,7.87877825,3.765272478
Chad,Africa & Middle East,22,68,90,14452543,0.622727779,0.470505433
Chile,South America,0,4,4,17909754,0.022334198,0.022334198
China,Asia,13,18,31,1378665000,0.002248552,0.001305611
Colombia,South America,38,60,98,48653419,0.201424693,0.123321241
Czech Republic,Europe & Russia,0,1,1,10561633,0.009468233,0.009468233
Democratic Republic of the Congo,Africa & Middle East,532,176,708,78736153,0.899205731,0.223531368
Denmark,Europe & Russia,1,3,4,5731118,0.06979441,0.052345808
Ecuador,South America,1,7,8,16385068,0.048824942,0.042721825
Egypt,Africa & Middle East,606,626,1232,95688681,1.287508603,0.654204858
Ethiopia,Africa & Middle East,279,83,362,102403196,0.353504592,0.081052158
France,Europe & Russia,95,470,565,66896109,0.844593218,0.702581969
Georgia,Asia,1,7,8,3719300,0.215094238,0.188207458
Germany,Europe & Russia,27,117,144,82667685,0.174191403,0.141530515
Greece,Europe & Russia,66,2,68,10746740,0.632750025,0.018610295
Guinea,Africa & Middle East,1,0,1,12395924,0.008067168,0
Haiti,North & Central America,7,0,7,10847334,0,0
Honduras,North & Central America,2,0,2,9112867,0.02194699,0
Hungary,Europe & Russia,0,2,2,9817958,0.020370835,0.020370835
India,Asia,462,784,1246,1324171354,0.094096583,0.059206839
Indonesia,Asia,22,35,57,261115456,0.021829424,0.013404032
Iran,Africa & Middle East,12,8,20,80277428,0.024913603,0.009965441
Iraq,Africa & Middle East,12187,14285,26472,37202572,71.15637059,38.39788281
Ireland,Europe & Russia,2,3,5,4773095,0.104753834,0.0628523
Israel,Africa & Middle East,16,175,191,8547100,2.234676089,2.047478092
Italy,Europe & Russia,1,1,2,60600590,0.003300298,0.001650149
Ivory Coast,Africa & Middle East,22,33,55,23695919,0.232107478,0.139264487
Japan,Asia,19,26,45,126994511,0.035434602,0.020473326
Jordan,Africa & Middle East,35,65,100,9455802,1.057551755,0.687408641
Kazakhstan,Asia,10,11,21,17797032,0.117997203,0.061808059
Kenya,Africa & Middle East,72,69,141,48461567,0.29095221,0.142380869
Kuwait,Africa & Middle East,1,1,2,4052584,0.049351229,0.024675614
Kyrgyzstan,Asia,1,5,6,6082700,0.098640406,0.082200339
Laos,Asia,3,15,18,6758353,0.266337079,0.221947566
Lebanon,Africa & Middle East,25,74,99,6006668,1.648168336,1.23196421
Libya,Africa & Middle East,631,737,1368,6293253,21.73756561,11.71095457
Madagascar,Africa & Middle East,3,91,94,24894551,0.377592671,0.365541841
Malaysia,Asia,6,9,15,31187265,0.048096555,0.028857933
Maldives,Asia,0,3,3,417492,0.718576643,0.718576643
Mali,Africa & Middle East,176,220,396,17994837,2.200631214,1.222572897
Mexico,North & Central America,4,0,4,127540423,0.003136261,0
Mozambique,Africa & Middle East,62,83,145,28829476,0.502957459,0.287899787
Myanmar,Asia,73,58,131,52885223,0.247706245,0.109671467
Nepal,Asia,5,15,20,28982771,0.069006514,0.051754886
Netherlands,Europe & Russia,1,3,4,17018408,0.023503961,0.017627971
Niger,Africa & Middle East,184,139,323,20672987,1.562425401,0.672375018
Nigeria,Africa & Middle East,2164,1155,3319,185989640,1.784507997,0.621002331
Pakistan,Asia,1112,1894,3006,193203476,1.555872628,0.980313625
Paraguay,South America,10,2,12,6725308,0.17843049,0.029738415
Peru,South America,11,7,18,31773839,0.056650378,0.022030703
Philippines,Asia,411,720,1131,103320222,1.094655023,0.696862614
Poland,Europe & Russia,0,1,1,37948016,0.002635184,0.002635184
Republic of the Congo,Africa & Middle East,31,0,31,5125821,0.604781166,0
Russia,Europe & Russia,64,61,125,144342396,0.086599643,0.042260626
Saudi Arabia,Africa & Middle East,161,196,357,32275687,1.106095743,0.607268251
Sierra Leone,Africa & Middle East,1,0,1,7396190,0.013520475,0
Slovak Republic,Europe & Russia,0,1,1,5428704,0.018420603,0.018420603
Somalia,Africa & Middle East,1558,1275,2833,14317996,19.78628853,8.90487747
South Africa,Africa & Middle East,21,11,32,55908865,0.057236004,0.019674876
South Sudan,Africa & Middle East,633,191,824,12230730,6.737128528,1.561640229
Spain,Europe & Russia,0,4,4,46443959,0.00861253,0.00861253
Sri Lanka,Asia,0,2,2,21203000,0.009432627,0.009432627
Sudan,Africa & Middle East,182,213,395,39578828,0.998008329,0.538166517
Sweden,Europe & Russia,0,1,1,9903122,0.010097826,0.010097826
Syria,Africa & Middle East,2755,2936,5691,18430453,30.87824266,15.93015646
Tajikistan,Asia,1,0,1,8734951,0.011448261,0
Tanzania,Africa & Middle East,3,2,5,55572201,0.008997304,0.003598922
Thailand,Asia,120,385,505,68863514,0.733334636,0.559076901
Tunisia,Africa & Middle East,71,26,97,11403248,0.850634837,0.228005214
Turkey,Africa & Middle East,1004,2772,3776,79512426,4.748943266,3.486247546
Uganda,Africa & Middle East,75,19,94,41487965,0.22657173,0.045796413
Ukraine,Europe & Russia,48,39,87,45004645,0.193313379,0.086657722
United Kingdom,Europe & Russia,9,20,29,65637239,0.044182236,0.030470508
United States,North & Central America,68,139,207,323127513,0.064061397,0.043017074
Uruguay,South America,1,1,2,3444006,0.058071908,0.029035954
Venezuela,South America,9,77,86,31568179,0.27242623,0.243916508
West Bank and Gaza Strip,Africa & Middle East,90,124,214,4551566,4.701678499,2.724337074
Yemen,Africa & Middle East,1517,1340,2857,27584213,10.35737362,4.857851119
